ID,Year,StateAbbreviation,None,D0,D1,D2,D3,D4,StatisticFormatID
203,2010,CA,"142,550.86","15,597.21","7,305.65",297.98,0,0,1
204,2010,CA,"150,014.91","8,133.16",0,0,0,0,1
205,2010,CA,"155,959.63","2,188.44",0,0,0,0,1
206,2010,CA,"67,394.53","90,753.53","30,689.86","3,456.75",0,0,1
207,2010,CA,"68,299.59","89,848.47","29,653.14","3,456.75",0,0,1
208,2010,CA,"70,097.63","88,050.44","17,367.65","3,456.75",0,0,1
209,2010,CA,"99,957.60","58,190.46","15,640.08","11,226.47",0,0,1
210,2010,CO,"26,115.69","78,029.97","40,292.59",0,0,0,1
211,2010,CO,"29,486.12","74,659.53","14,350.56",0,0,0,1
212,2010,CO,"29,486.12","74,659.54","18,589.82",0,0,0,1
213,2010,CO,"30,053.62","74,092.04","11,145.68",0,0,0,1
214,2010,CO,"30,053.62","74,092.04","14,350.56",0,0,0,1
215,2010,CO,"31,523.65","72,622.01","29,007.25",0,0,0,1
216,2010,CO,"31,549.51","72,596.15","40,274.11",0,0,0,1
217,2010,CO,"36,661.62","67,484.03","50,824.05","10,483.51",0,0,1
218,2010,CO,"39,003.28","65,142.37","50,278.23","10,551.12",0,0,1
219,2010,CO,"41,441.00","62,704.66","40,339.49","10,367.53",0,0,1
220,2010,CO,"41,688.13","62,457.53","40,229.65",0,0,0,1
221,2010,CO,"42,069.99","62,075.67","51,623.99","10,551.12",0,0,1
222,2010,CO,"42,808.68","61,336.97","40,339.49","10,367.53",0,0,1
223,2010,CO,"48,141.99","56,003.66",0,0,0,0,1
224,2010,CO,"66,894.84","37,250.82","8,323.12",381.54,0,0,1
225,2010,CO,"68,097.17","36,048.48",0,0,0,0,1
226,2010,CO,"70,175.83","33,969.82",401.21,0,0,0,1
227,2010,CO,"71,010.17","33,135.48",0,0,0,0,1
228,2010,CO,"71,010.17","33,135.48",97.93,0,0,0,1
229,2010,CO,"71,037.84","33,107.81",0,0,0,0,1
230,2010,CO,"72,088.76","32,056.90","7,835.34",0,0,0,1
231,2010,CO,"76,890.58","27,255.08",0,0,0,0,1
232,2010,CO,"79,970.50","24,175.15",253.58,0,0,0,1
233,2010,CO,"80,455.44","23,690.22",0,0,0,0,1
234,2010,CO,"80,980.27","23,165.38",3.49,0,0,0,1
235,2010,CO,"81,020.45","23,125.20",0,0,0,0,1
236,2010,CO,"82,067.37","22,078.29","4,019.66",0,0,0,1
237,2010,CO,"82,111.10","22,034.55",0,0,0,0,1
238,2010,CO,"82,431.35","21,714.30","4,019.66",0,0,0,1
239,2010,CO,"82,535.93","21,609.73",3.49,0,0,0,1
240,2010,CO,"82,753.29","21,392.36",254.1,0,0,0,1
241,2010,CO,"84,398.65","19,747.01",261.64,0,0,0,1
242,2010,CO,"85,014.16","19,131.50","3,016.84",0,0,0,1
243,2010,CO,"85,014.16","19,131.50","3,289.47",0,0,0,1
244,2010,CO,"85,923.50","18,222.16","2,354.19",0,0,0,1
245,2010,CO,"86,183.21","17,962.45","2,010.13",0,0,0,1
246,2010,CO,"86,183.21","17,962.45","2,343.08",0,0,0,1
247,2010,CO,"86,237.87","17,907.78","2,343.08",0,0,0,1
248,2010,CO,"86,386.62","17,759.04",0,0,0,0,1
249,2010,CO,"86,734.09","17,411.57",242.98,0,0,0,1
250,2010,CO,"87,096.38","17,049.28",0,0,0,0,1
251,2010,CO,"87,878.14","16,267.52",3.49,0,0,0,1
252,2010,CO,"90,683.61","13,462.05",0,0,0,0,1
253,2010,CT,0,"4,978.77","3,309.00",0,0,0,1
254,2010,CT,"1,039.11","3,939.66",852.01,0,0,0,1
255,2010,CT,"1,044.11","3,934.66",0,0,0,0,1
256,2010,CT,"1,930.05","3,048.72",0,0,0,0,1
257,2010,CT,"1,975.92","3,002.84",0,0,0,0,1
258,2010,CT,162.76,"4,816.01","2,706.20",0,0,0,1
259,2010,CT,162.76,"4,816.01",730.36,0,0,0,1
260,2010,CT,253.4,"4,725.37",0,0,0,0,1
261,2010,CT,"3,206.07","1,772.70",0,0,0,0,1
262,2010,CT,"4,690.80",287.97,0,0,0,0,1
263,2010,CT,"4,978.77",0,0,0,0,0,1
264,2010,CT,90.65,"4,888.12",0,0,0,0,1
265,2010,CT,918.43,"4,060.34",0,0,0,0,1
266,2010,DC,0,60.21,0,0,0,0,1
267,2010,DC,0,60.21,49.5,0,0,0,1
268,2010,DC,0,60.21,60.21,0,0,0,1
269,2010,DC,60.21,0,0,0,0,0,1
270,2010,DE,0,"2,049.97",234.75,0,0,0,1
271,2010,DE,0,"2,049.97",268.03,0,0,0,1
272,2010,DE,0,"2,049.97",276.26,0,0,0,1
273,2010,DE,"1,292.58",757.38,234.75,0,0,0,1
274,2010,DE,"1,421.96",628.01,0,0,0,0,1
